platform,country,city,zone,zone_tier,lat,lng,scraped_at,store_name,store_address,delivery_fee,service_fee_pct,eta_minutes,product_label,product_name,price,real_price,discount_pct,is_product_available,corridor
didi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-04-07T22:33:35,McDonald's (Plaza Galerías),"Ubicado en el corazón de Plaza Galerías, McDonald's ofrece un ambiente acogedor y familiar para disfrutar de sus icónicos platillos. Con una amplia variedad de opciones, desde las clásicas hamburguesa",,,,big_mac,Big Mac Tocino,145.0,145.0,0.0,True,
didi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-04-07T22:33:35,McDonald's (Plaza Galerías),"Ubicado en el corazón de Plaza Galerías, McDonald's ofrece un ambiente acogedor y familiar para disfrutar de sus icónicos platillos. Con una amplia variedad de opciones, desde las clásicas hamburguesa",,,,mctrio_big_mac,McTrío mediano Big Mac Tocino,169.0,169.0,0.0,True,
didi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-04-07T22:33:35,McDonald's (Plaza Galerías),"Ubicado en el corazón de Plaza Galerías, McDonald's ofrece un ambiente acogedor y familiar para disfrutar de sus icónicos platillos. Con una amplia variedad de opciones, desde las clásicas hamburguesa",,,,mctrio_big_mac,McTrío Big Mac + McTrío Cuarto de Libra,308.0,308.0,0.0,True,
didi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-04-07T22:33:35,McDonald's (Plaza Galerías),"Ubicado en el corazón de Plaza Galerías, McDonald's ofrece un ambiente acogedor y familiar para disfrutar de sus icónicos platillos. Con una amplia variedad de opciones, desde las clásicas hamburguesa",,,,big_mac,Big Mac,125.0,125.0,0.0,True,
didi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-04-07T22:33:35,McDonald's (Plaza Galerías),"Ubicado en el corazón de Plaza Galerías, McDonald's ofrece un ambiente acogedor y familiar para disfrutar de sus icónicos platillos. Con una amplia variedad de opciones, desde las clásicas hamburguesa",,,,coca_cola,Coca-Cola mediana,55.0,55.0,0.0,True,
didi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-04-07T22:33:35,McDonald's (Plaza Galerías),"Ubicado en el corazón de Plaza Galerías, McDonald's ofrece un ambiente acogedor y familiar para disfrutar de sus icónicos platillos. Con una amplia variedad de opciones, desde las clásicas hamburguesa",,,,coca_cola,Coca-Cola Zero mediana,55.0,55.0,0.0,True,
didi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-04-07T22:33:35,McDonald's (Plaza Galerías),"Ubicado en el corazón de Plaza Galerías, McDonald's ofrece un ambiente acogedor y familiar para disfrutar de sus icónicos platillos. Con una amplia variedad de opciones, desde las clásicas hamburguesa",,,,coca_cola,Coca-Cola mediana,55.0,55.0,0.0,True,
didi,MX,CDMX,Polanco,premium,19.43161,-99.18605,2026-04-07T22:33:35,McDonald's (Plaza Galerías),"Ubicado en el corazón de Plaza Galerías, McDonald's ofrece un ambiente acogedor y familiar para disfrutar de sus icónicos platillos. Con una amplia variedad de opciones, desde las clásicas hamburguesa",,,,coca_cola,Coca-Cola Zero mediana,55.0,55.0,0.0,True,
didi,MX,CDMX,Santa Fe,premium,19.35932,-99.26075,2026-04-07T22:33:35,McDonald's (Zentrika),"Ubicado en Lateral Autopista México-Marquesa 1235, en Santa Fe, Cuajimalpa de Morelos, el restaurante McDonald's Zentrika ofrece una experiencia única para disfrutar de tus platillos favoritos. Con un",,,,mctrio_big_mac,McTrío mediano Big Mac Tocino,189.0,189.0,0.0,True,
didi,MX,CDMX,Santa Fe,premium,19.35932,-99.26075,2026-04-07T22:33:35,McDonald's (Zentrika),"Ubicado en Lateral Autopista México-Marquesa 1235, en Santa Fe, Cuajimalpa de Morelos, el restaurante McDonald's Zentrika ofrece una experiencia única para disfrutar de tus platillos favoritos. Con un",,,,big_mac,Big Mac Tocino,165.0,165.0,0.0,True,
